Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
Childs Play,5.8,48.0,2.0,6.0,44455.0
Whisky,7.0,66.0,23.0,7.0,5702.0
Toni Morrison: The Pieces I Am,7.4,82.0,8.0,9.0,523.0
The Biggest Little Farm,8.1,73.0,15.0,28.0,5572.0
Autumn Spring,7.5,68.0,9.0,6.0,1721.0
The Curse of La Llorona,5.3,41.0,1.0,7.0,38454.0
Jezebel,5.7,80.0,3.0,3.0,350.0
1945,7.1,73.0,7.0,5.0,3332.0
The Prodigy,5.9,45.0,1.0,1.0,23254.0
Long shot,6.8,67.0,5.0,11.0,94892.0
Missing Link,6.7,68.0,5.0,44.0,22105.0
Spider-Man: Far from Home,7.5,69.0,10.0,22.0,325685.0
The Hustle,5.4,35.0,3.0,3.0,47958.0
True Romance,7.9,59.0,1.0,10.0,207489.0
The Circle,5.3,43.0,3.0,1.0,85020.0
My Own Private Idaho,7.1,77.0,12.0,10.0,51205.0
Ghost Stories,6.4,68.0,1.0,7.0,31460.0
John Wick: Chapter 3 - Parabellum,7.4,73.0,16.0,26.0,278016.0
Ask Dr. Ruth,7.6,68.0,3.0,5.0,869.0
Us,6.8,81.0,77.0,116.0,228427.0
Whos the Woman. Whos the Man,6.6,59.0,18.0,31.0,217014.0
Thunder Road,7.1,79.0,14.0,14.0,14932.0
Fighting with My Family,7.1,68.0,11.0,4.0,66920.0
First Reformed,7.1,85.0,61.0,103.0,48131.0
Pet Sematary,5.7,57.0,1.0,9.0,81966.0
The Two Popes,7.6,75.0,12.0,57.0,107567.0
Whats New Scooby-Doo?,6.4,47.0,5.0,9.0,191853.0
One Floor Below,6.4,66.0,7.0,11.0,830.0
6 Underground,6.1,41.0,1.0,9.0,140378.0
Divided We Fall,7.6,69.0,15.0,4.0,4872.0
Mary. Queen of Scots,6.3,60.0,7.0,32.0,41911.0
Midsommar,7.1,72.0,26.0,66.0,202246.0
Incident in a Ghostland,6.4,44.0,6.0,5.0,24984.0
Infinite Football,6.6,75.0,1.0,3.0,400.0
12:08 East of Bucharest,7.4,77.0,12.0,13.0,7171.0
Hail Satan?,7.3,76.0,3.0,19.0,5650.0
On the Basis of Sex,7.1,59.0,3.0,12.0,28211.0
Marriage Story,7.9,94.0,127.0,265.0,250211.0
The Shape of Water,7.3,87.0,137.0,345.0,372534.0
The Greatest Showman,7.6,48.0,18.0,35.0,241486.0
The House with a Clock in Its Walls,6.1,57.0,1.0,1.0,45818.0
The Hole in the Ground,5.6,63.0,2.0,17.0,15874.0
A Private War,6.7,75.0,1.0,9.0,16711.0
I Lost My Body,7.6,81.0,31.0,51.0,26940.0
Atlantics,6.7,85.0,14.0,58.0,7962.0
Gods Little Village,8.6,79.0,75.0,49.0,700405.0
The Island,6.3,61.0,7.0,13.0,1379.0
The LEGO Movie 2: The Second Part,6.6,65.0,1.0,12.0,55397.0
Ruben Brandt. Collector,7.5,75.0,2.0,6.0,6386.0
The Body Remembers When the World Broke Open,6.9,87.0,13.0,12.0,578.0
The Irishman,7.9,94.0,74.0,334.0,328049.0
Welcome to Marwen,6.2,40.0,2.0,8.0,20193.0
How to Train Your Dragon: The Hidden World,7.5,71.0,5.0,61.0,105076.0
Marie Curie: The Courage of Knowledge,5.5,49.0,3.0,8.0,1211.0
Brightburn,6.1,44.0,1.0,2.0,79451.0
The Longest Yard,7.1,61.0,2.0,4.0,17201.0
Diego Maradona,7.7,78.0,1.0,13.0,13955.0
The Club,7.2,73.0,19.0,29.0,9753.0
Im with the Band: Nasty Cherry,6.5,51.0,26.0,69.0,733336.0
Klaus,8.2,65.0,10.0,25.0,106820.0
Loners,7.5,33.0,10.0,12.0,2843.0
A Bride for Rip Van Winkle,7.2,56.0,2.0,6.0,1388.0
Papi Chulo,6.5,42.0,1.0,3.0,1258.0
Beauty in Trouble,6.8,75.0,6.0,6.0,894.0
Fifty Shades Freed,4.5,31.0,6.0,10.0,56092.0
Boy Erased,6.9,69.0,11.0,49.0,32734.0
Up and Down,6.9,78.0,6.0,10.0,1871.0
Birds of Passage,7.5,85.0,31.0,39.0,10231.0
Shadow,7.0,81.0,37.0,58.0,12875.0
Burning Cane,5.5,74.0,4.0,17.0,546.0
Thoroughbreds,6.7,75.0,1.0,21.0,35682.0
Murder on The Orient Express,6.5,52.0,1.0,25.0,213437.0
The Public,6.6,46.0,5.0,1.0,3387.0
Three Billboards Outside Ebbing. Missouri,8.1,88.0,132.0,225.0,436020.0
