Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
Amy,7.8,85.0,51.0,48.0,48773.0
Kill the Messenger,6.9,60.0,3.0,6.0,44479.0
Yuva,7.4,63.0,15.0,15.0,8457.0
The Purge: Anarchy,6.4,50.0,3.0,6.0,138939.0
Kal Ho Naa Ho,8.0,54.0,40.0,41.0,63605.0
Neighbors,6.3,68.0,8.0,11.0,287502.0
Gangs of Wasseypur: Part 2,8.2,89.0,17.0,45.0,82342.0
Gangs of Wasseypur: Part 1,8.2,89.0,17.0,45.0,82342.0
The Amazing Spider-Man 2,6.6,53.0,4.0,30.0,417529.0
Das Boot: Theatrical Cut,8.3,86.0,13.0,11.0,231798.0
The Overnight,6.1,65.0,1.0,3.0,16042.0
Big Fat Liar,5.4,36.0,1.0,3.0,35149.0
Broken Embraces,7.2,76.0,9.0,46.0,38610.0
Big Eyes,7.0,62.0,3.0,18.0,86261.0
Gone with the Wind,8.1,97.0,20.0,12.0,290863.0
The Campaign,6.1,50.0,2.0,4.0,124701.0
Contagion,6.7,70.0,2.0,14.0,283173.0
Bonnie and Clyde,7.8,86.0,23.0,30.0,102394.0
Easy Rider,7.3,85.0,8.0,14.0,100234.0
Far from the Madding Crowd,7.1,71.0,2.0,12.0,45543.0
House of Wax,5.3,41.0,5.0,11.0,115832.0
Catwoman,3.4,27.0,13.0,8.0,111330.0
Bewitched,4.8,34.0,2.0,13.0,69432.0
Ice Age: The Meltdown,6.8,60.0,8.0,16.0,257882.0
Eight Crazy Nights,5.4,23.0,1.0,5.0,21746.0
The Day the Earth Stood Still,5.5,40.0,2.0,5.0,163846.0
Role Models,6.8,61.0,1.0,4.0,220562.0
Cartel Land,7.4,76.0,19.0,37.0,17809.0
Reality Bites,6.6,67.0,1.0,1.0,46268.0
How to Change the World,7.6,77.0,6.0,7.0,1167.0
Friends with Benefits,6.5,63.0,1.0,5.0,340634.0
Romantics Anonymous,6.9,69.0,2.0,4.0,10589.0
Beerfest,6.3,46.0,1.0,3.0,64216.0
Slow West,6.9,72.0,7.0,18.0,42839.0
Dirty Harry,7.7,90.0,2.0,4.0,143709.0
No Escape,6.8,38.0,2.0,1.0,78504.0
American Sniper,7.3,72.0,24.0,43.0,441325.0
Jupiter Ascending,5.3,40.0,4.0,16.0,179014.0
Big Game,5.4,53.0,1.0,8.0,31263.0
Mommy,8.1,74.0,53.0,66.0,50689.0
Trash,7.2,50.0,2.0,10.0,20578.0
Lust. Caution,7.5,61.0,29.0,55.0,37558.0
Avengers: Age of Ultron,7.3,66.0,8.0,49.0,748735.0
The Mask of Zorro,6.7,63.0,9.0,18.0,169446.0
Nowhere in Africa,7.5,72.0,19.0,6.0,12546.0
Last Action Hero,6.4,44.0,1.0,16.0,137294.0
Her,8.0,90.0,83.0,186.0,542579.0
The Longest Ride,7.1,33.0,1.0,5.0,76996.0
Parental Guidance,6.0,36.0,1.0,4.0,24843.0
Bridesmaids,6.8,75.0,25.0,72.0,268925.0
Stir of Echoes,7.0,67.0,3.0,5.0,75545.0
Im Brent Morin,6.5,51.0,26.0,69.0,733336.0
A Bridge Too Far,7.4,63.0,7.0,4.0,52331.0
Divergent,6.6,48.0,7.0,11.0,426603.0
The Scorpion King,5.5,45.0,2.0,3.0,130822.0
Pompeii,5.5,39.0,9.0,4.0,106563.0
The Rite,6.0,38.0,1.0,5.0,91103.0
The Time Machine,6.0,42.0,2.0,4.0,118685.0
A Hard Day,7.2,76.0,18.0,16.0,11434.0
Mortdecai,5.5,27.0,1.0,8.0,67774.0
Huang jin shi dai,6.4,57.0,24.0,46.0,997.0
The Voices,6.4,58.0,3.0,4.0,53358.0
The Giver,6.5,47.0,3.0,6.0,112204.0
The Devils Advocate,7.5,60.0,2.0,7.0,332619.0
Life of Pi,7.9,79.0,82.0,133.0,582752.0
Kingsman: The Secret Service,7.7,60.0,8.0,27.0,591523.0
The Water Diviner,7.0,50.0,14.0,13.0,71616.0
Pulse,6.6,70.0,2.0,3.0,16884.0
Himizu,7.1,66.0,3.0,5.0,3485.0
The Dreamers,7.2,62.0,2.0,9.0,111271.0
Alexander: Directors Cut,5.6,39.0,6.0,19.0,162366.0
Ride Along,6.2,41.0,1.0,7.0,103585.0
Horrible Bosses 2,6.3,40.0,1.0,3.0,158875.0
Kika,6.5,53.0,5.0,9.0,12452.0
The Interpreter,6.4,62.0,3.0,2.0,98012.0
Halloween,7.7,87.0,6.0,2.0,233570.0
Charlie Wilsons War,7.0,67.0,5.0,23.0,110885.0
Point Break,7.3,58.0,1.0,2.0,159153.0
8 Women,7.1,64.0,11.0,31.0,29392.0
4 Months. 3 Weeks and 2 Days,7.9,97.0,42.0,60.0,56818.0
A Nightmare on Elm Street,5.2,35.0,2.0,11.0,92993.0
Land of the Lost,5.3,32.0,2.0,9.0,66545.0
John Wick,7.4,68.0,6.0,9.0,540657.0
Fear,6.3,51.0,1.0,2.0,42298.0
Freddy vs. Jason,5.7,37.0,2.0,11.0,110900.0
Sleep Tight,7.2,70.0,9.0,22.0,39278.0
The Texas Chainsaw Massacre,7.5,78.0,1.0,1.0,137759.0
The Break-Up,5.8,45.0,3.0,5.0,125870.0
Going Clear: Scientology and the Prison of Belief,8.0,80.0,7.0,31.0,37140.0
American Hustle,7.2,90.0,70.0,226.0,449865.0
Ichi the Killer,7.0,55.0,6.0,4.0,52381.0
It Follows,6.8,83.0,25.0,42.0,211138.0
Beasts of No Nation,7.7,79.0,33.0,54.0,74314.0
Aloha,5.4,40.0,2.0,7.0,62860.0
A Good Year,7.0,47.0,1.0,2.0,88717.0
UWantMe2KillHim?,6.3,42.0,1.0,1.0,2700.0
The Fifth Estate,6.2,49.0,2.0,3.0,38947.0
The Signal,6.1,54.0,1.0,3.0,62799.0
Winter on Fire,8.4,79.0,2.0,5.0,12889.0
Now You See Me,7.3,50.0,1.0,3.0,597859.0
The Salvation,6.7,64.0,1.0,8.0,36203.0
Dumb and Dumber To,5.6,36.0,1.0,7.0,129208.0
Curse of Chucky,5.6,58.0,2.0,1.0,34688.0
Boogie Nights,7.9,85.0,36.0,64.0,240615.0
Practical Magic,6.3,46.0,1.0,6.0,73027.0
Deep Blue Sea,5.9,54.0,2.0,4.0,125338.0
Taken 3,6.0,26.0,3.0,2.0,179499.0
Molière,7.2,59.0,3.0,5.0,5935.0
Modern Times,8.5,96.0,4.0,1.0,218733.0
Cure,7.4,70.0,9.0,2.0,11381.0
Rashomon,8.2,98.0,9.0,5.0,153131.0
New Years Eve,5.7,22.0,2.0,8.0,82252.0
Maps to the Stars,6.2,67.0,10.0,23.0,38221.0
Midnights Children,6.2,56.0,4.0,8.0,2990.0
The SpongeBob Movie: Sponge Out of Water,6.0,62.0,1.0,9.0,49589.0
Pitch Black,7.1,49.0,2.0,9.0,225776.0
Jaws,8.0,87.0,14.0,20.0,544230.0
Freedom Writers,7.5,64.0,2.0,1.0,70260.0
The Gambler,6.1,55.0,1.0,3.0,66315.0
Philomena,7.6,77.0,33.0,85.0,94347.0
Selma,7.5,80.0,59.0,90.0,86664.0
Kung Fu Killer,6.5,66.0,6.0,13.0,10079.0
The Mortal Instruments: City of Bones,5.9,33.0,6.0,11.0,127995.0
Harry Potter and the Deathly Hallows: Part I,7.7,65.0,15.0,55.0,480455.0
The Judge,7.4,48.0,3.0,9.0,179330.0
The Tale of Despereaux,6.1,53.0,1.0,8.0,35886.0
Runaway Bride,5.6,39.0,6.0,10.0,93101.0
Scott Pilgrim vs. the World,7.5,69.0,17.0,64.0,380333.0
Life,6.8,63.0,1.0,6.0,45979.0
Interstellar,8.6,74.0,44.0,148.0,1516941.0
The Age of Adaline,7.2,51.0,1.0,10.0,155804.0
The Dead Lands,6.3,59.0,5.0,9.0,4587.0
Unforgiven,8.2,85.0,50.0,47.0,377197.0
Paprika,7.7,81.0,6.0,5.0,71845.0
Sucker Punch,6.0,33.0,1.0,11.0,230434.0
Ping Pong,7.1,59.0,6.0,7.0,3177.0
Memories of Tomorrow,7.4,68.0,10.0,5.0,791.0
Lethal Weapon,7.6,68.0,7.0,2.0,237208.0
Hula Girls,7.1,53.0,23.0,8.0,1929.0
Love Exposure,8.1,78.0,17.0,3.0,11900.0
Final Destination,6.7,36.0,3.0,5.0,230386.0
A Beautiful Mind,8.2,72.0,37.0,69.0,852357.0
Indiana Jones and the Kingdom of the Crystal Skull,6.1,65.0,10.0,42.0,426056.0
Indiana Jones and the Temple of Doom,7.6,57.0,11.0,21.0,450259.0
Cast Away,7.8,73.0,15.0,38.0,525755.0
Indiana Jones and the Last Crusade,8.2,65.0,8.0,22.0,693446.0
Dark Shadows,6.2,55.0,2.0,13.0,248011.0
2001: A Space Odyssey,8.3,84.0,16.0,11.0,604652.0
Mad Max 2: The Road Warrior,7.6,77.0,8.0,10.0,167066.0
Ghost in the Shell 2: Innocence,7.5,66.0,6.0,8.0,36300.0
Indiana Jones and the Raiders of the Lost Ark,8.4,85.0,35.0,24.0,885825.0
Wild,7.1,76.0,13.0,69.0,120849.0
Mamma Mia!,6.4,51.0,15.0,25.0,216728.0
Ice Age: Continental Drift,6.5,49.0,2.0,11.0,192475.0
About a Boy,7.0,75.0,11.0,30.0,173290.0
Trust,6.9,60.0,1.0,3.0,41252.0
Days of Thunder,6.1,60.0,1.0,2.0,79443.0
Striptease,4.5,37.0,8.0,4.0,43076.0
Selena,6.8,67.0,8.0,6.0,25512.0
The Wizard of Oz,8.0,92.0,11.0,17.0,372058.0
Heavy Metal,6.7,51.0,4.0,2.0,31873.0
In the Line of Fire,7.2,74.0,2.0,17.0,92751.0
Groundhog Day,8.0,72.0,7.0,17.0,580985.0
Das Boot: Directors Cut,8.3,86.0,13.0,11.0,231798.0
The Flintstones,4.9,38.0,6.0,10.0,75932.0
Lawrence of Arabia: Restored Version,8.3,100.0,30.0,14.0,269166.0
Kramer vs. Kramer,7.8,77.0,39.0,25.0,133900.0
District 9,7.9,81.0,31.0,116.0,639051.0
Close Encounters of the Third Kind,7.6,90.0,15.0,39.0,185247.0
The Taking of Pelham 123,6.4,55.0,1.0,7.0,186533.0
Captain Phillips,7.8,82.0,16.0,153.0,422719.0
Hereafter,6.4,56.0,4.0,15.0,90440.0
The Call,6.7,51.0,1.0,11.0,113200.0
27 Dresses,6.1,47.0,5.0,3.0,154452.0
Annabelle,5.4,37.0,3.0,7.0,141605.0
All About Steve,4.8,17.0,2.0,3.0,39740.0
Human Capital,7.3,63.0,48.0,30.0,11796.0
Olympus Has Fallen,6.5,41.0,1.0,5.0,257808.0
Starship Troopers,7.2,51.0,3.0,16.0,269672.0
Blue Crush,5.7,61.0,1.0,7.0,30112.0
Paul,7.0,57.0,2.0,9.0,235166.0
Curse of the Golden Flower,7.0,70.0,20.0,34.0,42341.0
Birdman or (The Unexpected Virtue of Ignorance),7.7,87.0,194.0,290.0,581864.0
The Princess of Montpensier,6.5,78.0,2.0,9.0,3696.0
Election,7.1,73.0,15.0,28.0,9490.0
Kangaroo Jack,4.4,16.0,1.0,9.0,29778.0
Black or White,6.6,45.0,2.0,2.0,11790.0
Clash of the Titans,6.9,59.0,2.0,6.0,41270.0
The Brave One,6.7,56.0,1.0,7.0,58469.0
Grown Ups 2,5.4,19.0,5.0,15.0,140938.0
Creep,6.3,74.0,4.0,3.0,42957.0
Wild Wild West,5.0,38.0,15.0,17.0,153319.0
Fracture,7.2,68.0,1.0,2.0,187848.0
The Hundred-Foot Journey,7.3,55.0,2.0,4.0,77055.0
The DUFF,6.5,56.0,1.0,8.0,84165.0
Tie Me Up! Tie Me Down!,7.0,55.0,8.0,19.0,24770.0
Neighboring Sounds,7.2,77.0,38.0,23.0,7335.0
Mood Indigo,6.5,54.0,1.0,9.0,15211.0
Zelary,7.6,66.0,4.0,11.0,3360.0
Prometheus,7.0,64.0,6.0,47.0,569426.0
The Fugitive,7.8,87.0,13.0,37.0,268464.0
The Book of Life,7.3,67.0,3.0,29.0,64634.0
A River Runs Through It,7.2,68.0,4.0,11.0,53871.0
The Concert,7.6,60.0,9.0,15.0,17418.0
Flashdance,6.2,39.0,11.0,14.0,48048.0
You Got Served,3.9,37.0,1.0,5.0,25930.0
The Maze Runner,6.8,57.0,4.0,12.0,418958.0
The Drop,7.1,69.0,4.0,5.0,143047.0
Somethings Gotta Give,6.7,66.0,8.0,13.0,112316.0
Romeo Must Die,6.1,52.0,2.0,7.0,66905.0
The Guest,6.7,76.0,4.0,13.0,91927.0
Beyond the Lights,6.9,73.0,4.0,25.0,15474.0
Osmosis Jones,6.3,57.0,1.0,8.0,32380.0
Pay It Forward,7.2,40.0,1.0,4.0,112927.0
Laggies,6.4,63.0,1.0,1.0,42002.0
Advantageous,6.1,59.0,7.0,3.0,4915.0
White House Down,6.4,52.0,3.0,9.0,206765.0
Foxcatcher,7.0,81.0,12.0,81.0,134891.0
The Opposite of Sex,6.3,70.0,14.0,24.0,19983.0
Lee Daniels The Butler,7.2,65.0,17.0,53.0,109226.0
Get Smart,6.5,54.0,3.0,6.0,204476.0
Into the Storm,5.8,44.0,2.0,1.0,65138.0
This Is the End,6.6,67.0,10.0,21.0,384653.0
Grace of Monaco,5.7,21.0,1.0,4.0,18626.0
The Unbeatables,6.5,38.0,8.0,5.0,8900.0
The Expendables 3,6.1,35.0,2.0,5.0,169871.0
The Lost Boys: Special Edition,7.3,63.0,3.0,5.0,124412.0
Hector and the Search for Happiness,7.0,29.0,2.0,6.0,45447.0
Apocalypse Now Redux,8.4,94.0,21.0,32.0,607816.0
Roman Holiday,8.0,78.0,11.0,16.0,127445.0
Pet Sematary,6.6,38.0,1.0,5.0,94532.0
That Awkward Moment,6.2,36.0,1.0,2.0,98021.0
Gone Girl,8.1,79.0,64.0,187.0,863582.0
The Adjustment Bureau,7.0,60.0,1.0,9.0,244486.0
Casa Grande,6.9,56.0,13.0,23.0,2336.0
August: Osage County,7.2,58.0,16.0,65.0,84831.0
Third Person,6.3,38.0,1.0,1.0,26850.0
Journey to the Center of the Earth,5.8,57.0,3.0,4.0,113862.0
The Ant Bully,5.8,59.0,1.0,4.0,37135.0
The Woman in Black 2: Angel of Death,4.8,42.0,2.0,2.0,26665.0
Teenage Mutant Ninja Turtles,5.8,31.0,1.0,10.0,201256.0
The Hunger Games: Mockingjay - Part 1,6.6,64.0,21.0,32.0,415035.0
Girlhood,6.9,85.0,11.0,21.0,8413.0
The Lucky One,6.5,39.0,5.0,7.0,101706.0
The Imitation Game,8.0,73.0,49.0,159.0,686497.0
Catfish,7.1,65.0,2.0,7.0,40910.0
Tinker Bell and the Legend of the NeverBeast,7.2,52.0,1.0,1.0,7560.0
Fists of Legend,6.8,47.0,1.0,6.0,1039.0
Rush Hour 2,6.6,48.0,10.0,22.0,200153.0
[REC] 4: Apocalipsis,5.3,53.0,2.0,11.0,16414.0
Elysium,6.6,61.0,1.0,10.0,419827.0
Tammy,4.9,39.0,1.0,7.0,48425.0
Blended,6.5,31.0,1.0,10.0,120412.0
Warm Bodies,6.8,60.0,1.0,10.0,219465.0
The Homesman,6.6,68.0,5.0,14.0,30778.0
The Worlds End,7.0,81.0,4.0,23.0,260700.0
Dawn of the Planet of the Apes,7.6,79.0,17.0,48.0,412476.0
42,7.5,62.0,3.0,20.0,86908.0
Saturday Night Fever,6.8,77.0,4.0,12.0,72145.0
The Blues Brothers,7.9,60.0,2.0,1.0,183757.0
About Time,7.8,55.0,3.0,9.0,304576.0
Legend of the Guardians: The Owls of GaHoole,6.9,53.0,4.0,23.0,77798.0
Swordfish,6.5,32.0,5.0,10.0,176205.0
Dumb and Dumberer: When Harry Met Lloyd,3.4,19.0,1.0,7.0,37471.0
The Killer,7.8,82.0,2.0,6.0,45625.0
Sherlock Holmes: A Game of Shadows,7.5,48.0,3.0,11.0,421586.0
Mars Attacks!,6.3,52.0,3.0,19.0,210010.0
Zodiac,7.7,78.0,4.0,72.0,467977.0
Waiting for Superman,7.5,81.0,16.0,28.0,10677.0
The 100-Year-Old Man Who Climbed Out of the Window and Disappeared,7.1,58.0,6.0,11.0,38513.0
Edge of Tomorrow,7.9,71.0,11.0,38.0,601294.0
The Great Gatsby,7.2,55.0,50.0,86.0,480685.0
Jonah Hex,4.7,33.0,1.0,4.0,55452.0
All About My Mother,7.8,87.0,58.0,40.0,89327.0
Ultraviolet,4.5,18.0,1.0,2.0,79499.0
The Mummy,7.0,48.0,5.0,24.0,389860.0
Righteous Kill,6.0,36.0,1.0,2.0,84731.0
The Jackal,6.4,36.0,1.0,4.0,106817.0
The Happening,5.0,34.0,3.0,10.0,195843.0
Hope Springs,6.3,65.0,2.0,5.0,40810.0
The Holiday,6.9,52.0,2.0,11.0,252776.0
Grizzly Man,7.8,87.0,21.0,17.0,53430.0
Ghost Rider,5.2,35.0,1.0,11.0,223843.0
E.T. the Extra-Terrestrial,7.8,91.0,51.0,36.0,373277.0
The Secret Life of Bees,7.3,57.0,12.0,16.0,24461.0
Talladega Nights: The Ballad of Ricky Bobby,6.6,66.0,8.0,9.0,168022.0
August Rush,7.5,38.0,4.0,11.0,103606.0
Fast and Furious 6,7.0,61.0,10.0,22.0,368985.0
Kick-Ass 2,6.5,41.0,1.0,9.0,255437.0
Despicable Me 2,7.3,62.0,12.0,66.0,370638.0
What Lies Beneath,6.6,51.0,7.0,7.0,118067.0
Traffic,7.6,86.0,74.0,87.0,196249.0
St. Vincent,7.2,64.0,6.0,23.0,96212.0
Riding in Cars with Boys,6.5,43.0,2.0,2.0,26775.0
RocknRolla,7.3,53.0,1.0,5.0,236225.0
Rize,7.1,74.0,1.0,3.0,3137.0
Land of the Dead,6.2,71.0,2.0,17.0,91877.0
U-571,6.6,62.0,4.0,10.0,77853.0
40 Days and 40 Nights,5.6,53.0,1.0,2.0,70681.0
Saving Private Perez,5.9,56.0,1.0,1.0,1806.0
The Twilight Samurai,8.1,82.0,38.0,9.0,22264.0
Waterworld,6.2,56.0,6.0,9.0,180628.0
Vacancy,6.2,54.0,1.0,2.0,94577.0
The Rainmaker,7.2,72.0,2.0,10.0,64799.0
Munich,7.5,74.0,14.0,75.0,212878.0
The Railway Man,7.1,59.0,7.0,20.0,37541.0
The Perfect Man,5.5,27.0,2.0,3.0,28320.0
sex. lies. and videotape,7.2,86.0,15.0,24.0,50487.0
The Blue Lagoon,5.8,31.0,4.0,8.0,63278.0
Klown,7.2,62.0,7.0,3.0,10309.0
Katyn,7.0,81.0,14.0,13.0,15586.0
Jimmys Hall,6.7,63.0,2.0,3.0,5938.0
Ghost in the Shell,8.0,76.0,5.0,7.0,129766.0
Fright Night,7.1,62.0,5.0,4.0,61627.0
Double Jeopardy,6.5,40.0,1.0,3.0,75698.0
Dreamgirls,6.5,76.0,68.0,92.0,69132.0
The Craft,6.4,55.0,1.0,7.0,79838.0
Like Crazy,6.7,68.0,9.0,7.0,59472.0
Boomerang,5.5,45.0,1.0,5.0,26215.0
Baby Geniuses,2.7,6.0,2.0,3.0,25094.0
Young Adult,6.2,71.0,3.0,33.0,80559.0
Begin Again,7.4,62.0,5.0,18.0,143647.0
Betty Blue,7.4,56.0,5.0,12.0,18134.0
House of 1.000 Corpses,6.1,31.0,4.0,8.0,78231.0
Georgia Rule,5.8,25.0,3.0,5.0,23935.0
W.E.,6.3,37.0,4.0,6.0,12156.0
Like Mike,5.3,47.0,1.0,6.0,19029.0
The Dictator,6.4,58.0,1.0,1.0,278852.0
Superman: The Movie,7.3,80.0,16.0,23.0,159531.0
Zathura,6.2,67.0,2.0,3.0,94177.0
Skin,6.9,62.0,14.0,9.0,3260.0
Reprise,7.4,79.0,16.0,16.0,9488.0
Rush,8.1,74.0,6.0,65.0,433926.0
Monster,7.3,74.0,30.0,26.0,136851.0
Spawn: The Movie,5.3,34.0,2.0,6.0,64083.0
My Life Without Me,7.5,57.0,16.0,15.0,24199.0
Remember Me. My Love,6.4,53.0,8.0,28.0,4096.0
The Lego Movie,7.7,83.0,72.0,67.0,324457.0
Once Upon a Time in Mexico,6.4,56.0,3.0,6.0,153959.0
The Lake House,6.8,52.0,2.0,2.0,140949.0
Hudson Hawk,5.8,17.0,3.0,5.0,52449.0
Godzilla,6.4,62.0,7.0,31.0,377876.0
Stranger than Fiction,7.5,67.0,3.0,15.0,219565.0
Vanity Fair,6.2,53.0,2.0,5.0,21201.0
Kung Fu Hustle,7.7,78.0,25.0,47.0,127454.0
Terribly Happy,6.8,74.0,19.0,12.0,5177.0
The Exorcism of Emily Rose,6.7,46.0,4.0,9.0,120114.0
Exiled,7.2,73.0,8.0,16.0,8425.0
Underworld: Evolution,6.7,36.0,2.0,6.0,189981.0
Drag Me to Hell,6.5,83.0,7.0,23.0,188296.0
Gemini,5.4,71.0,1.0,5.0,4557.0
Troy,7.3,56.0,5.0,23.0,489745.0
Persona,8.1,86.0,10.0,5.0,103930.0
Erased,6.1,34.0,1.0,2.0,29737.0
The Iron Lady,6.4,54.0,25.0,47.0,103595.0
Womans Holes,7.4,76.0,24.0,71.0,570776.0
Eye in the Sky,7.3,73.0,4.0,10.0,79715.0
Girl Asleep,6.2,67.0,7.0,23.0,2521.0
Girls Lost,6.1,69.0,4.0,6.0,1082.0
Were Lalaloopsy,7.7,76.0,26.0,18.0,158121.0
Be with Me,7.0,67.0,12.0,7.0,1631.0
Chefs Table: France,7.3,68.0,2.0,4.0,197249.0
Worlds Oddest Animal Couples US,7.0,63.0,3.0,24.0,602843.0
Monty Pythons Fliegender Zirkus,8.2,91.0,3.0,3.0,502049.0
Dennis the Menace,5.6,49.0,3.0,3.0,56966.0
Demolition Man,6.7,34.0,1.0,7.0,159399.0
Children of Men,7.9,84.0,49.0,89.0,466007.0
Layer Cake,7.3,73.0,2.0,9.0,166885.0
The Brothers,6.5,50.0,1.0,8.0,4300.0
Deuce Bigalow: European Gigolo,4.7,23.0,3.0,10.0,48687.0
The Place Beyond the Pines,7.3,68.0,5.0,22.0,247318.0
Boat Trip,4.9,18.0,1.0,8.0,30343.0
Bridge to Terabithia,7.1,74.0,6.0,5.0,143527.0
The Age of Innocence,7.2,90.0,15.0,33.0,53225.0
Alexander: Theatrical Cut,5.6,39.0,6.0,19.0,162366.0
A Little Princess,7.7,83.0,3.0,9.0,32314.0
Ali,6.8,65.0,10.0,27.0,93996.0
Die Hard: With a Vengeance,7.6,58.0,2.0,3.0,364897.0
The Adventures of Sharkboy and Lavagirl,3.6,38.0,1.0,10.0,33539.0
Anaconda,4.8,37.0,6.0,11.0,97043.0
8MM,6.5,19.0,2.0,2.0,124570.0
The Karate Kid Part II,6.1,55.0,4.0,3.0,79404.0
Pusher 2: With Blood on My Hands,7.4,78.0,3.0,15.0,18984.0
Taken 2,6.3,45.0,1.0,3.0,290256.0
Spider-Man 2,7.3,83.0,25.0,60.0,545277.0
Prisoners,8.1,70.0,10.0,38.0,603654.0
Pacific Rim,6.9,65.0,7.0,48.0,466660.0
Wrath of the Titans,5.7,37.0,2.0,3.0,181787.0
Man of Steel,7.0,55.0,7.0,46.0,693002.0
Were the Millers,7.0,44.0,4.0,17.0,405224.0
Hannibal,6.8,57.0,9.0,25.0,255637.0
Hairspray,6.6,81.0,21.0,44.0,119941.0
Gangs of New York,7.5,72.0,50.0,135.0,407001.0
Gothika,5.8,38.0,3.0,7.0,106556.0
Gravity,7.7,96.0,239.0,185.0,770091.0
Twin Peaks: Fire Walk With Me,7.3,45.0,4.0,7.0,86909.0
Friday Night Lights,7.2,70.0,2.0,5.0,59314.0
Flipped,7.7,45.0,2.0,2.0,81763.0
Need for Speed,6.4,39.0,1.0,5.0,163074.0
The Eye of the Storm,6.1,55.0,8.0,26.0,1502.0
Eyes Wide Shut,7.4,68.0,11.0,30.0,304281.0
Eraser,6.1,56.0,3.0,2.0,103900.0
The Expatriate,6.1,34.0,1.0,2.0,29737.0
Red Dragon,7.2,60.0,4.0,10.0,252933.0
Thor: The Dark World,6.9,54.0,3.0,22.0,598155.0
Its Complicated,6.5,57.0,8.0,15.0,86598.0
Casper,6.1,49.0,4.0,5.0,121942.0
The Conjuring,7.5,68.0,15.0,22.0,443192.0
Crazy. Stupid. Love,7.4,68.0,4.0,23.0,474032.0
Miss Congeniality,6.3,43.0,7.0,8.0,188844.0
Thirst,7.1,73.0,17.0,19.0,42757.0
Men in Black,7.3,71.0,22.0,39.0,517127.0
Dallas Buyers Club,8.0,80.0,85.0,85.0,443897.0
Yogi Bear,4.6,35.0,2.0,2.0,20540.0
Horrible Bosses,6.9,57.0,3.0,13.0,422122.0
The Dark Knight Rises,8.4,78.0,38.0,103.0,1522306.0
Where the Wild Things Are,6.7,71.0,7.0,54.0,100998.0
Law Abiding Citizen,7.4,34.0,3.0,5.0,272387.0
As Good as It Gets,7.7,67.0,38.0,54.0,276225.0
An Unfinished Life,7.0,49.0,3.0,1.0,28986.0
Requiem for a Dream,8.3,68.0,35.0,70.0,768597.0
The Adventures of Tintin,7.3,68.0,22.0,63.0,217044.0
Harry Potter and the Sorcerers Stone,7.6,64.0,17.0,68.0,659950.0
The Ninth Gate,6.7,44.0,2.0,5.0,168457.0
Final Destination 5,5.8,50.0,2.0,6.0,107098.0
The Hangover: Part III,5.8,30.0,2.0,7.0,293876.0
300: Rise of an Empire,6.2,48.0,2.0,7.0,281333.0
Hellboy II: The Golden Army,7.0,78.0,5.0,34.0,255907.0
The Raid 2,8.0,71.0,5.0,10.0,114535.0
Men in Black II,6.2,49.0,4.0,16.0,344551.0
The Last Exorcism Part II,4.0,35.0,1.0,2.0,15742.0
Journey 2: The Mysterious Island,5.8,41.0,7.0,4.0,93681.0
22 Jump Street,7.0,71.0,7.0,24.0,346712.0
Apollo 13,7.6,77.0,28.0,59.0,270396.0
Oceans Twelve,6.5,58.0,4.0,10.0,360500.0
Oceans Eleven,7.7,74.0,4.0,20.0,517336.0
The Mill and The Cross,6.9,80.0,10.0,7.0,3860.0
Before Midnight,7.9,94.0,20.0,63.0,142255.0
Broken Arrow,6.1,61.0,1.0,3.0,91009.0
Wall Street,7.4,56.0,10.0,5.0,144139.0
Wanted,6.7,64.0,4.0,25.0,360633.0
Viva Riva!,6.2,65.0,8.0,7.0,1116.0
Under the Skin,6.3,80.0,23.0,111.0,130359.0
Takers,6.2,45.0,2.0,6.0,58150.0
Senna,8.5,79.0,20.0,19.0,64347.0
Spanglish,6.4,48.0,5.0,15.0,79342.0
Serenity,7.8,74.0,9.0,10.0,283799.0
Speed Racer,6.0,37.0,1.0,12.0,69068.0
Total Recall,6.3,43.0,2.0,6.0,240699.0
Son of the Mask,2.2,20.0,7.0,12.0,52701.0
The Sisterhood of the Traveling Pants,6.5,66.0,1.0,14.0,54164.0
Obsessed,5.0,25.0,4.0,8.0,29848.0
The Other Woman,6.0,39.0,3.0,5.0,131210.0
Next,6.2,42.0,2.0,3.0,149766.0
Noah,5.7,68.0,1.0,19.0,243576.0
Mr. Poppers Penguins,6.0,53.0,1.0,3.0,88727.0
This Means War,6.3,31.0,1.0,6.0,176430.0
The Great Beauty,7.8,86.0,60.0,77.0,81467.0
The Best Offer,7.8,49.0,25.0,26.0,108843.0
The Secret Life of Walter Mitty,7.3,54.0,5.0,18.0,294429.0
Solomon Kane,6.1,48.0,1.0,1.0,69436.0
King Kong,7.2,81.0,46.0,104.0,392274.0
Zookeeper,5.2,30.0,1.0,2.0,57683.0
Jumping the Broom,5.7,56.0,3.0,13.0,10198.0
Magic in the Moonlight,6.5,54.0,1.0,1.0,64190.0
Inside Job,8.2,88.0,8.0,27.0,70044.0
The Generals Daughter,6.4,47.0,3.0,5.0,53793.0
Texas Killing Fields,5.7,49.0,4.0,3.0,18932.0
Fiddler on the Roof,8.0,67.0,9.0,13.0,39652.0
Fruitvale Station,7.5,85.0,37.0,56.0,76195.0
Little Fockers,5.5,27.0,3.0,5.0,106946.0
